"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1956,"Red Kerr","FC","6-9","230","Syracuse Nationals","Eastern All-Star Coaches Selection","1954 Rnd 1 Pick 6","United States"
1956,"Ed Macauley","FC","6-8","185","Boston Celtics","Eastern All-Star Coaches Selection","1949 Rnd 1 Pick 5","United States"
1956,"Dick McGuire","G","6-0","180","New York Knicks","Eastern All-Star Fan Vote Selection","1949 Rnd 1 Pick 8","United States"
1956,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1956,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Coaches Selection","1950 Rnd 2 Pick 5","United States"
1956,"Larry Foust","FC","6-9","215","Fort Wayne Pistons","Western All-Star Coaches Selection","1950 NBA Draft, Undrafted","United States"
1956,"Bob Harrison","G","6-1","190","St. Louis Hawks","Western All-Star Coaches Selection","1949 Rnd 2 Pick 11","United States"
1956,"Mel Hutchins","FC","6-6","200","Fort Wayne Pistons","Western All-Star Fan Vote Selection","1951 Rnd 1 Pick 2","United States"
1956,"Clyde Lovellette","FC","6-10","234","Minneapolis Lakers","Western All-Star Coaches Selection","1952 Rnd 1 Pick 10","United States"
1956,"Slater Martin","PG","5-10","170","Minneapolis Lakers","Western All-Star Fan Vote Selection","1949 Rnd 3 Pick 11","United States"
1956,"Vern Mikkelsen","F","6-7","230","Minneapolis Lakers","Western All-Star Coaches Selection","1949 Rnd 1 Pick 11","United States"
1956,"Bob Pettit","FC","6-9","205","St. Louis Hawks","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 2","United States"
1956,"Maurice Stokes","FC","6-7","232","Rochester Royals","Western All-Star Coaches Selection","1955 Rnd 1 Pick 2","United States"
1956,"Bobby Wanzer","G","6-0","170","Rochester Royals","Western All-Star Fan Vote Selection","1948 Rnd 1 Pick 10","United States"
1956,"George Yardley","GF","6-5","190","Fort Wayne Pistons","Western All-Star Fan Vote Selection","1950 Rnd 1 Pick 8","United States"
1957,"Paul Arizin","GF","6-4","190","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1950 Rnd 1 Pick 3","United States"
1957,"Carl Braun","SG","6-5","180","New York Knicks","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1957,"Nat Clifton","PF","6-6","220","New York Knicks","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1957,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1957,"Harry Gallatin","FC","6-6","210","New York Knicks","Eastern All-Star Coaches Selection","1947 Rnd 4 Pick 10","United States"
1957,"Jack George","G","6-2","190","San Francisco Warriors","Eastern All-Star Coaches Selection","1953 Rnd 13 Pick 1","United States"
1957,"Tommy Heinsohn","PF","6-7","218","Boston Celtics","Eastern All-Star Coaches Selection","1956 NBA Draft, Undrafted","United States"
1957,"Neil Johnston","C","6-8","210","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1948 NBA Draft, Undrafted","United States"
1957,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1957,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 Rnd 2 Pick 5","United States"
1957,"Dick Garmaker","GF","6-3","200","Minneapolis Lakers","Western All-Star Fan Vote Selection","1954 Rnd 9 Pick 8","United States"
1957,"Mel Hutchins","FC","6-6","200","Fort Wayne Pistons","Western All-Star Coaches Selection","1951 Rnd 1 Pick 2","United States"
1957,"Clyde Lovellette","FC","6-10","234","Minneapolis Lakers","Western All-Star Coaches Selection","1952 Rnd 1 Pick 10","United States"
1957,"Ed Macauley","FC","6-8","185","St. Louis Hawks","Western All-Star Coaches Selection","1949 Rnd 1 Pick 5","United States"
1957,"Slater Martin","PG","5-10","170","St. Louis Hawks","Western All-Star Fan Vote Selection","1949 Rnd 3 Pick 11","United States"
1957,"Vern Mikkelsen","F","6-7","230","Minneapolis Lakers","Western All-Star Coaches Selection","1949 Rnd 1 Pick 11","United States"
1957,"Bob Pettit","FC","6-9","205","St. Louis Hawks","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 2","United States"
1957,"Richie Regan","G","6-2","180","Rochester Royals","Western All-Star Coaches Selection","1953 Rnd 1 Pick 4","United States"
1957,"Maurice Stokes","FC","6-7","232","Rochester Royals","Western All-Star Fan Vote Selection","1955 Rnd 1 Pick 2","United States"
1957,"Jack Twyman","F","6-6","210","Rochester Royals","Western All-Star Coaches Selection","1955 Rnd 2 Pick 2","United States"
1957,"George Yardley","GF","6-5","190","Fort Wayne Pistons","Western All-Star Fan Vote Selection","1950 Rnd 1 Pick 8","United States"
1958,"Paul Arizin","GF","6-4","190","San Francisco Warriors","Eastern All-Star Coaches Selection","1950 Rnd 1 Pick 3","United States"
1958,"Larry Costello","PG","6-1","186","Syracuse Nationals","Eastern All-Star Coaches Selection","1954 Rnd 2 Pick 3","United States"
1958,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1958,"Richie Guerin","SG","6-4","195","New York Knicks","Eastern All-Star Coaches Selection","1954 Rnd 2 Pick 8","United States"
1958,"Neil Johnston","C","6-8","210","San Francisco Warriors","Eastern All-Star Coaches Selection","1948 NBA Draft, Undrafted","United States"
1958,"Willie Naulls","F","6-6","225","New York Knicks","Eastern All-Star Fan Vote Selection","1956 Rnd 2 Pick 2","United States"
