"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1996,"Shaquille O'Neal","C","7-1","325","Los Angeles Lakers","Western All-Star Coaches Selection","1992 Rnd 1 Pick 1","United States"
1996,"Hakeem Olajuwon","C","7-0","255","Houston Rockets","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 1","NigeriaUnited States"
1996,"Gary Payton","G","6-4","180","Seattle SuperSonics","Western All-Star Fan Vote Selection","1990 Rnd 1 Pick 2","United States"
1996,"Mitch Richmond","SG","6-5","215","Sacramento Kings","Western All-Star Coaches Selection","1988 Rnd 1 Pick 5","United States"
1996,"Detlef Schrempf","SF","6-9","214","Seattle SuperSonics","Western All-Star Replacement Selection","1985 Rnd 1 Pick 8","GermanyUnited States"
1996,"Latrell Sprewell","SG","6-5","190","Golden State Warriors","Western All-Star Coaches Selection","1992 Rnd 1 Pick 24","United States"
1996,"John Stockton","PG","6-1","170","Utah Jazz","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 16","United States"
1997,"Penny Hardaway","PG","6-7","195","Orlando Magic","Eastern All-Star Fan Vote Selection","1993 Rnd 1 Pick 3","United States"
1997,"Tim Hardaway","PG","6-0","175","Miami Heat","Eastern All-Star Coaches Selection","1989 Rnd 1 Pick 14","United States"
1997,"Grant Hill","SF","6-8","225","Detroit Pistons","Eastern All-Star Fan Vote Selection","1994 Rnd 1 Pick 3","United States"
1997,"Michael Jordan","SG","6-6","215","Chicago Bulls","Eastern All-Star Fan Vote Selection","1984 Rnd 1 Pick 3","United States"
1997,"Shawn Kemp","C","6-10","280","Cleveland Cavaliers","Eastern All-Star Fan Vote Selection","1989 Rnd 1 Pick 17","United States"
1997,"Reggie Miller","SG","6-7","185","Indiana Pacers","Eastern All-Star Coaches Selection","1987 Rnd 1 Pick 11","United States"
1997,"Dikembe Mutombo","C","7-2","260","Atlanta Hawks","Eastern All-Star Fan Vote Selection","1991 Rnd 1 Pick 4","Democratic Republic of the Congo"
1997,"Glen Rice","SF","6-8","228","Charlotte Hornets","Eastern All-Star Coaches Selection","1989 Rnd 1 Pick 4","United States"
1997,"Steve Smith","SG","6-7","200","Atlanta Hawks","Eastern All-Star Coaches Selection","1991 Rnd 1 Pick 5","United States"
1997,"Rik Smits","C","7-4","250","Indiana Pacers","Eastern All-Star Coaches Selection","1988 Rnd 1 Pick 2","Netherlands"
1997,"Antoine Walker","F","6-9","265","Boston Celtics","Eastern All-Star Coaches Selection","1996 Rnd 1 Pick 6","United States"
1997,"Jayson Williams","FC","6-10","245","New Jersey Nets","Eastern All-Star Coaches Selection","1990 Rnd 1 Pick 21","United States"
1997,"Vin Baker","PF","6-11","240","Seattle SuperSonics","Western All-Star Coaches Selection","1993 Rnd 1 Pick 8","United States"
1997,"Kobe Bryant","SG","6-6","212","Los Angeles Lakers","Western All-Star Fan Vote Selection","1996 Rnd 1 Pick 13","United States"
1997,"Tim Duncan","FC","6-11","250","San Antonio Spurs","Western All-Star Coaches Selection","1997 Rnd 1 Pick 1","United States"
1997,"Kevin Garnett","PF","6-11","240","Minnesota Timberwolves","Western All-Star Fan Vote Selection","1995 Rnd 1 Pick 5","United States"
1997,"Eddie Jones","G-F","6-6","200","Los Angeles Lakers","Western All-Star Coaches Selection","1994 Rnd 1 Pick 10","United States"
1997,"Jason Kidd","PG","6-4","210","Phoenix Suns","Western All-Star Coaches Selection","1994 Rnd 1 Pick 2","United States"
1997,"Karl Malone","PF","6-9","265","Utah Jazz","Western All-Star Fan Vote Selection","1985 Rnd 1 Pick 13","United States"
1997,"Shaquille O'Neal","C","7-1","325","Los Angeles Lakers","Western All-Star Fan Vote Selection","1992 Rnd 1 Pick 1","United States"
1997,"Gary Payton","G","6-4","180","Seattle SuperSonics","Western All-Star Fan Vote Selection","1990 Rnd 1 Pick 2","United States"
1997,"Mitch Richmond","SG","6-5","215","Sacramento Kings","Western All-Star Coaches Selection","1988 Rnd 1 Pick 5","United States"
1997,"David Robinson","C","7-1","250","San Antonio Spurs","Western All-Star Coaches Selection","1987 Rnd 1 Pick 1","United States"
1997,"Nick Van Exel","PG","6-1","170","Los Angeles Lakers","Western All-Star Coaches Selection","1993 Rnd 2 Pick 10","United States"
1998,"LaMarcus Aldridge","FC","6-11","260","San Antonio Spurs","Western All-Star Coaches Selection","2006 Rnd 1 Pick 2","United States"
1998,"Bradley Beal","SG","6-5","207","Washington Wizards","Eastern All-Star Coaches Selection","2012 Rnd 1 Pick 3","United States"
1998,"Anthony Davis","PF","6-10","253","New Orleans Pelicans","Western All-Star Coaches Selection","2012 Rnd 1 Pick 1","United States"
1998,"Kevin Durant","SF","6-9","240","Golden State Warriors","Western All-Star Fan Vote Selection","2007 Rnd 1 Pick 2","United States"
1998,"James Harden","SG","6-5","220","Houston Rockets","Western All-Star Fan Vote Selection","2009 Rnd 1 Pick 3","United States"
1998,"Kyrie Irving","G","6-3","193","Boston Celtics","Eastern All-Star Fan Vote Selection","2011 Rnd 1 Pick 1","United StatesAustralia"
1998,"LeBron James","F","6-8","250","Los Angeles Lakers","Western All-Star Fan Vote Selection","2003 Rnd 1 Pick 1","United States"
